,AreaName,AvgPrice
464,sidharth ext,12727.27
465,sultanpur extension,3969.7
466,10 dwaraka marg,8428.9
467,a1 block paschim vihar delhi,10952.38
468,bamnoli village delhi,5000
469,block j rajouri garden extension,12923.08
470,budh nagar,7777.78
471,dhul siras,4375
472,dlf phase 5,12375.48
473,dps matiyala,8750.75
474,dr ambedkar colony,4666.67
475,govindpura old,6112.91
476,katwaria sarai,8125
477,masjid moth village,7000
478,masoodpur,14629.63
479,maya enclave,8771.65
480,new layal pur,5000
481,peeragarhi village,592.07
482,rajiv chowk,11000
483,residential floorsector,13137.79
484,sarojini nagar,4526.75
485,sector 18,11183.57
486,sector 8b,13240.74
487,shreshtha vihar,12444.44
488,shyam enclave,5555.56
489,surhera,4300
490,vishal enclave,3724.14
491,akshardham,23171.14
492,ambica vihar,9615.38
493,ashirwad,8750
494,azad apartments,25000
495,baldev park east,7812.5
496,bees sutri harijan basti,1583.33
497,ber sarai,18750
498,cd block dakshini pitampura,25000
499,dcm school marg,6478.21
500,devli extention,2430.56
501,devli extention deoli gaon nai basti,3143.6
502,ghitorni village south delhi,17500
503,gulab bagh,566.67
504,igi airport,4826.07
505,jasola sector 8,10833.33
506,kalkaji flyover,12534.18
507,keshavpuram,8333.33
508,khushi ram park param puri,5000
509,kishangarh village new delhi,5617.98
510,lodhi colony,12000
511,manglapuri village,36638.98
512,mayur vihar pocket f,47435.48
513,mianwali nagar peera garhi,10400
514,mirpur turk,4483.43
515,moti bagh south,4545.45
516,munirka flyover,10296.3
517,munirka marg,11273.33
518,pant nagar,3264.76
519,pind wala khurd village,65573.77
520,pocket 7 sector d,11764.71
521,pocket 8 sector c,16666.67
522,pratap khand,6209.15
523,sadh nagar palam colony,3823.53
524,sandesh vihar,18518.52
525,sector 108,5624.3
526,sector 16a dwarka,6269.59
527,sector 5,8758.77
528,sector 7,9485.71
529,sector b pocket 10,1947.62
530,sector17 rohini,7995.09
531,shaheen bagh new delhi,4896.42
532,west enclave,10752.68
533,delhi cantt,527.04
534,abul fazal enclave part 2 new delhi,4555.56
535,antriksh bhawan,3542.37
536,block jp poorvi pitampura,9988.01
537,block uu uttari pitampura,7781.65
538,chirag dilli,3500
539,commercial shop karol bagh,16650
540,commonwealth games village,15476.19
541,e block preet vihar,13263.42
542,experion heartsong,6303.13
543,gulabhi bagh om vihar,3600
544,janakpuri b1 market,9444.44
545,kapas hera extension,1866.67
546,karampura west,13513.51
547,lig flats,8819.93
548,mandakini enclave,16388.89
549,mount kailash apartment,18333.33
550,narmada apartments,13462.57
551,netaji subash marg,7826.09
552,noor nagar,4266.67
553,partap nagar,5000
554,paschim vihar a 1 block,8300
555,pocket 11 sector b,16000
556,pocket 2 sector d,13365.38
557,pocket 9 sector c,16666.67
558,residential flat mehrauli,3370.79
559,rishi nagar,6222.22
560,saiyad ul ajaib village,3777.78
561,salempur majra,18750
562,sector 1,8674.1
563,sector 10 pocket 1,7250
564,sector 12 dwarka pocket 2,8000
565,sector 30,4603.58
566,sector4pkt 1,9233.81
567,shahabad mohammadpur,4266.67
568,shankar vihar,12306.61
569,subzi mandi,4784.69
570,ujwa,4200
571,b4 block,11764.71
572,baprola,10952.38
573,bhagat chandra hospital,6800
574,bhagwati garden extension,4100
575,bharthal,2285.71
576,block gh5,7333.33
577,block ld dakshini pitampura,16666.67
578,block sd delhi,7588.24
579,commercial shop indra park,29761.9
580,d3 street,23333.33
581,dda flats,18888.89
582,desh bandhu gupta marg,11125
583,dilshad colony new simapuri,12241.05
584,durga vihar new delhi,3571.43
585,dwarka 29 sector,3975.63
586,dwarka flyover,9714.29
587,dwarka sec 21,3800
588,dwarka sec3,8333.33
589,dwarka sec6 market,8857.14
590,dwarka sector 12 pocket 6,7500
591,dwarka sector 23 pocket 1,10584.62
592,dwarka sector 25,3800
593,epdp colony,7764.71
594,fajalpur village,11000
595,gharoli dairy farm,10464.43
596,godavari apartments,11764.71
597,goyla vihar,13888.89
598,inder enclave,10344.83
599,jagdamba camp,11111.11
600,kapas hera estate,3200
601,khanpur dhani,8431.37
602,khari baoli,4878.05
603,kondali main,5625
604,mahaveer nagar kotla mubarakpur,24429.97
605,mahrauli,3518.52
606,masjid moth phase 2,10769.23
607,meenakshi garden,12213.74
608,nangloi saiyed village,5491.7
609,nelson mandela marg,20000
610,new govindpura,6666.67
611,new krishna nagar,5000
612,new pragatesheel apartment,7586.21
613,om vihar extn om vihar,4943.75
614,om vihar phase 4,4750
615,paryatan vihar,9671.18
616,pocket 10 sector b,18000
617,pocket 6 sector 2,12500
618,pocket 9,16250
619,pocket 9 sector b,8181.82
620,pocket a sector 17 dwarka,8181.82
621,police lines,18181.82
622,pontoon bridge,80000
623,prime chowk,8823.53
624,puth khurd village,3428.57
625,ram colony chattarpur,5555.56
626,rampura marg,9259.26
627,residential flat dharam pura,3259.81
628,residential flat east of kailash,11555.56
629,residential flat pocket a,2800
630,residential flat pocket d,2777.78
631,residential flat uttam nagar,3777.78
632,residential floor drayaganj,5149.79
633,residential floor east ram nagar,5288.16
634,residential floor om vihar,3442.13
635,residential floor ram nagar,3790.38
636,residential floor tilak nagar,4582.82
637,residential floor uttam nagar,4382.47
638,residential floorblocka sector,841.24
639,residential floorpaschim vihar,8131.84
640,residential house uttam nagar,2812.5
641,rocky area,3333.33
642,sec 6 pocket 1,8750
643,sector 112,3188.01
644,sector 12 pocket 7,8166.67
645,sector 13,8750
646,sector 17,8421.05
647,sector 18 a,7500
648,sector 18 rohini,8947.37
649,sector 21,4200
650,sector 21 dwarka new delhi,8452.38
651,sector 25 dwarka,4368.42
652,sector 37,5241.64
653,sector b,17142.86
654,shankar garden,10540.54
655,sheikh sarai inner lane,16206.9
656,siddharth enclave,12500
657,siddhartha enclave,11818.18
658,siddhartha extension,9200
659,suraj vihar,5625
660,sushant vihar,3499.69
661,telibara,5333.33
662,timarpur,916.39
663,vijay mandal enclave,12500
664,vikaspuri flyover,7222.22
